content,neg
"I've had no problem with this app until now. The business Facebook keeps telling me my login has expired & it asks me to login by clicking on my name. Then right away it says my login expired, login again, repeat over & over. What's going on???",0.112
"it is not user friendly - has errors, does not save updated information & the platform is not directly connected to the FB app, causing you to use this ""business suite"" which in ny opinion offers nothing special outside of analytics... more storage space now being used on my phone, another platform the business now HAS to use/learn & we would rather just disconnect from Facebook & send all traffic to our websites & public chat forums so FB doesn't continue to document & notated all of our work",0.112
"I enjoy and appreciate the app overall. but the last update came with a ""post suggestion"" feature that picks a time a day for you. I understand the thought behind it, I just find it extremely annoying.",0.111
the changes over the past 6 months or so have virtually made this app unusable. Really need to go back to old format like personal Facebook! Very sad business owner.,0.111
"Good! sometimes hard to get rid of ""unread"" message notifications",0.111
I miss the old Pages Manager app layout. Was a lot easier to navigate,0.111
I miss the old Pages Manager app layout. Was a lot easier to navigate,0.111
"I use this app to schedule my photography photos and to schedule my stories for when I post videos onto YouTube. The last week I can no longer schedule anything. I'll put the photo, history and the location but it will not let me click on next. This app is everything I wished for but now I'm thinking about going to the old way I did things from how irritating it is that I can no longer schedule.",0.109
"The convenience of uploading posts & stories on the go is nice but SO FRUSTRATED with this app lately because it won't let me read my messages MOST of the time. That's been the case for several months. It will show me I have a message but I can't read it until I get out my laptop. Other than that, app is fine.",0.109
It has its good points and its bad points some of the last update that have been done have made things worse it is now tougher to go into pictures and former posts then prior versions. Also in likes to say you have messages or comments or notifications when there are none.,0.108
"This app used to be amazing! Now its just terrible! The last few updates only make the app worse than the previous update. Uploads don't load correctly to the page and the photos are all out of order, multiple pictures are copied and posted at the same time, messages don't work, notifications won't go away.",0.108
"It used to be way easier and there were no updating issues after a post was made. Now, if you have more than 1 manager, it is difficult to know if someone else has made a post or not - resulting in duplicates.",0.108
"It used to be way easier and there were no updating issues after a post was made. Now, if you have more than 1 manager, it is difficult to know if someone else has made a post or not - resulting in duplicates.",0.108
"I was having trouble getting notifications on my mobile device when customers would message my business on Facebook. I have the Facebook app installed, and I used to receive notifications letting me know when customers would PM my business or comment on a post. This app has solved that issue. However, there is no option to like comments. For my business, interacting with customers is very important. This is a major annoyance as the app was advertised as a one stop shop for Facebook.",0.108
"Do not trust this application to create a GoLive post! Page Manager was rock solid for doing this. Business Suite failed for me on its first use! The fail locked-up the phone, a Galaxy S9+, so tight I thought I was going to be unable to turn the phone off or reset it. All I captured was a video with a dark green overlay and a continuous Battlestar Galactica Cylon scanning circle of lighter green. I could not finish the video, frmove the green filter, change zoom level or make any change. My reco",0.108
"May 2021 Update: LOVE LOVE the new Business Suite features, especially the intuitive calendar for scheduling posts! Really helpful... When it works! Ever since the Creator Studio was launched, FB Pages Manager has been dying little by little. A shame as the new Creator Studio does not support monitoring comment/messages like FB Pages Mgr does Since the latest updates, early June 2020, I no longer receive automatic notifications. Instead, I'm forced to manually refresh the FB Pages Mgr app at least once an hour, which makes for a very inefficient way of keeping up with followers. PLS FIX IT!!! :-(",0.107
"needs a lot of updates, get alerts for comments but unable to view comments, hard to post and see schedule posts, hard to band and delete comments from here also.",0.106
This app is worthless. Nothing but errors when trying to access inbox messages. I have found many videos claiming to solve this issue but none work. Very disappointed as I have no way to answer messages from potential customers.,0.105
"Constantly freezing, Facebook app says one thing, page manager is like a week behind, than ad manager isn't much better. I don't always get notifications. Already emailed support haven't heard back. Unfortunately it's a needed app for my business but it's frustrating to use. I believe it has great potential, but MANY bugs to still be worked out.",0.105
"Absolutely ridiculous that I can't post anything for the last few days, how are we supposed to run a business when you won't let us upload photos",0.104
Can't see messages. It's pretty useless if I can't see my customer's messages to me so I can answer them. Please fix this ASAP.,0.103
The notifications for messages lag or it shows that I have unanswered messages that I have answered already. The app is otherwise adequate.,0.103
"This app was not build for business how slow is this app u keep on refreshing from time to time, before you see message, the pop up notifications is not working even when you are still on the app, i miss a lot of customer because of late reply, all this error should be corrected in this latest update, otherwise zero star 0 star or no Star",0.103
"I find it somewhat useful, but many of the features are very confusing and seem to require a lot of programming knowledge, which the majority of people using it don't have. I believe people stop using it due to these complexities. I did and went to a different platform where the functions are in layman's terms. Any app that is too complex will cause people to leave it.",0.102
"This Manager Facebook page blocks me every time a submitted a disputed. From unsupported services. I used it for my business healthy food purposse, Ayurveda, and I noticed that if I don't spend MONEY on the page promotions popping out 24×7 my page does not get visible at all. I am about to leave Facebook for ever after I have been defended it so much every where from negatives coments from people, users, ect. And I see now why. Iam just going to stick with my Website, Google+ Whats up, Imo, Tweeter, ect, keep spreading my business cards arround, because I have been a user abused. And it is not going to work. UNINSTALLED APP",0.102
"I remember when pages manager was available before it was replaced by this clunky, dysfunctional mess. It's no longer a tool to efficiently manage your pages. It's a thinly veiled advertisement trying to sell you on purchasing ads. Every other aspect of this app is so glitchy, unusable, and poorly designed that there's no real point in paying to advertise a page you can't efficiently manage.",0.1
Changes being made all the time resulting in our page not working properly. This app never works. Please fix. I now cannot invite people to my page that like a post or picture,0.1
"Pretty good except new incoming messages do not load all the time, I have to refresh the inbox most times, pretty annoying",0.1
"Great concept, poor execution. I get notifications through Facebook then it takes me to this app. That's when it finally decides to send me notifications. However, the messages & comments don't even show up! I have to keep trying to go back & open them. It does not refresh like it should. 👎🏻",0.099
"Overall it is a convenient app. However it does have glitches that happen frequently. One, posts that are scheduled have a tendency not to post and disappear completely or post randomly at another time. My biggest complaint is not being able to see all of the comments. Even when ""all comments "" are selected you can only see a portion of them. This makes it very difficult to moderate comments.",0.099
"Original: 7/29/21 So many things do not work in this app. I am unable to see ""Activities"" and clicking on Reactuons of a post no longer shows each of the people reacting to a post so we can invite them to like our page. Each of these just go to a blank screen. Edit: 11/17/21 Still a terrible app.... still does not allow you to see reactions on posts. Continuously shows unread notifications when there are not any new ones. Gives you notifications for ""There are no comments on this post!""...",0.099
Messages are not working. There is a massive delay on for when the message gets sent to the message showing in my inbox,0.099
"It's hard to do things in here, much easier to do it through the basic app. And trying to connect Facebook and Instagram it causes more work. Easier to copy and paste. Would love to turn off messaging completely, there's no way to do that. There's not really any help if you have questions.",0.098
"You can't edit your page from the app. When I click view page it loads & then loads a 2nd page that's blank, making it useless. It irks me that I can't share with the regular Facebook app, I don't need an extra app that is just a hassle to use.",0.098
cannot upload any photo and video. Hard to manage facebook page compared to ios.,0.097
good app but some UI issues. Pulling up Notifications is odd on tablet. And finding them is a task. interactive features should never be difficult to use,0.097
We have no dates on our posts which is needed in Animal Rescue. The button in the comment area is useless. Leave all comments visible on posts. Why can't I delete a photo album or rename it at least from my mobile device? Please give us the old version back if you can't get this working the right way.,0.097
Always gives me alerts multiple times for messages I've already read. sometimes days later. Its very annoying to get 2-3 alerts in 1 day for content I've already gone through...,0.097
"I absolutely love that I can control both my business facebook page and business instagram all in one app. I do find it a little difficult to navigate sometimes and have had a few errors when setting it up. Other than that, it's great.",0.096
I loved this up until the last few days -- I'm trying to schedule posts and I just keep getting upload failed. It WAS a very helpful small business tool.,0.096
This app used to be real good. Now it seems that you are just disabling important functions. I hope that you get it straightened out very soon.,0.095
"Not all features stay updated, so they disappear. For example, being able to see who liked a post sometimes doesn't work.",0.095
"This is suppose to be helpful for business but it's more aggravating than anything. Can't see the messages when they come in, can't comment half the time, just continuously says it's posting and it don't..It's frustrating! And you have to constantly stop the app just to get the most recent notifications. So your updates are pointless. They fix nothing.",0.095
"This is suppose to be helpful for business but it's more aggravating than anything. Can't see the messages when they come in, can't comment half the time, just continuously says it's posting and it don't..It's frustrating! And you have to constantly stop the app just to get the most recent notifications. So your updates are pointless. They fix nothing.",0.095
"It's been good till this past week. When scheduling posts, it loses them when I close the app. Please fix asap.",0.094
"It's been good till this past week. When scheduling posts, it loses them when I close the app. Please fix asap.",0.094
Won't load too glitchy more trouble than it's worth. Never clears notifications as read they look brand new for 7-8 hours. Even after I have liked a comment or even replied to the comment it will not refresh and show as read.,0.094
"It has its moments! I wish with every update usability improved, but it isn't very user friendly in my opinion. I do not the glitching and shortening of messages. It could use so many improvements.",0.093
Tells you you have notifications and then there is no notifications yet the number stays above the flag. What really annoys me is on the main page on my computer I can unsubscribe to notifications from groups. When I go on here I keep getting updates from groups and I keep saying unsubscribe unsubscribe. And then I delete it and then they freaking pop back up. If I unsubscribe from notifications for a group I expect it to be transferred to my pages manager. They need to work on this,0.093
"It has its moments! I wish with every update usability improved, but it isn't very user friendly in my opinion. I do not the glitching and shortening of messages. It could use so many improvements.",0.093
"Worked fine, until recently. I suppose it was after an update. I now can't schedule an appointment, as it only offers ""today"", and the times are all screwed up. Please fix this.",0.093
"Its nice to have it, but it is pretty clunky and unreliable. Sometimes it will tell me I have new notifications, but when I open the app I have no new notifications. Sometimes it says I have a new message in my inbox, but it won't appear in the app for several hours, even though I can find it on the website. 🤷‍♂️ it gets annoying",0.093
"Is this app going from bad to worse? Previously could see the date and times of the messages I received (this is important in my line of work). Now no details are displayed, and updating the app does not fix this issue. I think it used to be ok, but with every change it just seems to get worse. Would love to see this be a lot more user friendly and have things that are required be user friendly. It's like they got the work experience student to put this together.",0.092
Its good but the notifications always arrive late and i can't see who liked my page or likes on posts on my page. These should be the standard.,0.092
"It helps, but certainly not the best it could be. Personally I do not see much of a difference of using Facebook app, then selecting to go to my Page & make updates versus having an app, taking up additional space on my phone, other than the fact that it takes you directly to your page. 1)There is not a reoccurring appointment feature, which causes so many issues with scheduling. 2)Alerts are barely received for incoming contact.3) Error with uploading & updating content & posts.",0.092
"I enjoy using this app to post to my business profile but I wish there was a MARK AS READ button available IN the mobile notification bar. It's annoying to have to click on each individual message for the app to mark it as read. Some messages do not need that much attention, but I feel it's just another way for Facebook to force you to open the app and try to suck you in.",0.092
It's ridiculous I've had to uninstall and install the app again in order for the notifications to go away. It also runs slow and does not show my profile picture or cover photo clearly. I do not want to keep reinstalling the app. The notifications still get stuck and show that I have unseen notifications yet I have already seen them.,0.092
"The activity tab has disappeared. No way to see who's interacting with content. Even tapping the likes doesn't provide any information. Shares show in total, but the individual breakdown is gone.",0.091
I had an issue with the app using 500 MB (100 MB + 400 MB background) of data which has never happened before. This is not normally the case with this app and think it's just a bad update.,0.091
"I am very thankful for this app! There is no perfect app — I know this because not only do I personally know some ""Big Boss Doggs"" in the Development World, but I, too am a developer 13 years strong. Now, to all you cry babies out there whining about the simplest things — get a grip on reality people! Be thankful to even have the ability to use a device! Have a blessed day!",0.091
Having g a hard time receiving messages. Says new message but can't read them. Really hard to run a business when you can read messages or get notifications when you have a new message.,0.091
"The app needs work- delays in messaging, sometimes hard to see client comments or interactions.",0.091
"I love having this app. Instead of going through facebook and clicking around to go to the pages I manage, I just pull this bad puppy up and go right to the page I need to edit. Wish I had this sooner!",0.091
important app but much missing. - Can't load photos from ANY album on my phone! only from Gallery - tagging needs fixing - why can't I do simple album management on my pages with any of Facebook apps? Still need to go to a computer just to move photos from one album to another. - the ability to upload additional photos to an existing album with a specific text exists in the pages app (thank you) but not on the computer! very frustrating.,0.091
"The latest update has been buggier and laggier than ever. It will sit and refresh the feed for minutes at a time and then may or may not even populate the latest post. Another issue is that at least half the time I try to post it gives a ""something went wrong, please try to post later"" error. It doesn't save any of my post and then I'll have to retype the entire post. I manage several FB pages for work and this is getting almost impossible to use on mobile.",0.09
"home page gets stuck on load. other than that, i like it! helps me run my little business online",0.089
This app is very handy but it definitely does not work perfectly. You get notifications through the app but can't view the messages or comments in the app. You have to then go to that social platform to view and respond to page engagements.,0.089
"home page gets stuck on load. other than that, i like it! helps me run my little business online",0.089
This app is very handy but it definitely does not work perfectly. You get notifications through the app but can't view the messages or comments in the app. You have to then go to that social platform to view and respond to page engagements.,0.089
"A year later Updated: 10/09/2021 still if not worse! always having to uninstall and reinstall ugg, the program stalls updates seem to make it worse..grrr...theres some bugs in this app, I love it, but here I am again uninstalling and reinstalling...grr This keeps getting worse new version cant even load pics to my album section, bring it back!! Everytime theres an update its terrible, if its not broke dont fix it. Loved it before 😭 now you cant upload pics with this new version wtpoop!",0.088
"Using it for years. Easy. Fast. Reliable source for business communication, advertising. At times, it can be difficult to change/upload new banner, and profile photos.",0.088
I run multiple pages for a nonprofit and this used to be a great app but it has turned into total garbage. Nothing works the way that's supposed to any more. I've uninstalled and reinstalled multiple times. It's useless trash now.,0.088
When they changed it i can no longer add photos to my fb page from the app. I can only upload the pics from web browser.,0.087
"Share to group is not working. When I want to share a picture or video on a comment, the gallery opens in a stupid way, please let me open studio by folder or album. Add the option to join groups in the name of my page. Please fix all",0.086
"I love that I can manage a business but I HATE that I can not post ally business information in a timely manner. Posting products, and replying to my clients messages via messenger, has landed me in fb jail. When replying to clients that are in my contacts list, and friends list, that should never put a business in fb jail. Seriously disrupts business. Furthermore, I as a page manager, should be able to see who likes and comments on my posts regardless of how many people like my page.",0.085
Save some time by being able to publish on both Facebook and Instagram platforms with one post. but every time there is an error when selecting Instagram so you have to go back unselect it and try again.,0.085
"Sometimes difficult to find things. Easier to just go to your FB profile and pick the page you manage, but then you don't have the ""tab"" for messages pop up. Aggravating when you want to show a potential customer something and it doesn't work as you like (not tech issue, more of a ""searching"" issue; you want to show photos, only a few albums show up and you scroll to find the rest and can't get to them so you have to scroll through ALL your photos...rather embarrassing.",0.085
"i wish this didn't exist, and just let me use regular messenger. and, it isn't the apps fault, but perhaps this message will get to someone appropriately: the system of requiring responses to every message is strange as then i have to respond to every little message, even those that don't need a response, which leads to odd interactions.",0.085
"Love the convenience, but it hasn't allowed me to upload any pictures to my pages/albums for several weeks now. It's very frustrating especially when you're a photographer and need to share what you do with potential client. Issue was reported, but still hasn't been fixed.",0.085
"The business suite is hard to work with. It's confusing. The older version was much better. This one needs to be updated as soon as possible. Or better yet, downgraded to the old one.",0.084
I use this to schedule posts for our upholstery shop! It saves a ton of time to schedule them all in one go and I can forget about it from there!,0.084
"kinda works, but not as helpful as it should be. I'll get a notification that people have shared a post, then when i click on it, it only let me see the latest person who shared instead of all the people who's names are in the notification. so i can't comment and like the shares without a lot of digging and time spent.",0.084
its much better than having to go through FB to manage my pages and get notifications. Easy to use. The only complaint I have is that the messages disappear after you mark them complete and i don't know where to go to find the thread.,0.084
"can be glitchy and not let you comment on everything sometimes. but other than that it is a good way to check in. it helps me to keep tabs on the page I help run. you can share pictures, but not videos sadly. I wish they would fix that along with the fact that out locks you out after you comment a bit. I just get on my personal Facebook for a little bit, then get back on this app and it usually let's me update a little more before locking me out again. I wish they could fix that problem as wel",0.083
I like being able to post on Facebook and Instagram at the same time. It saves time. What doesn't save time is creating a post and scheduling it just to have the post not show up in my scheduled feed! Super annoying to have to recreate the same post multiple times. Please fix this glitch!,0.083
"UPDATE 10/23/20: Since the Facebook Business Suite update, I've decided to try again. It's ugly but it works. 6/14/20 I suddenly can't even make a post. I go to my page, I hit ""create post"" or ""add photo"" and the app freezes. This app is literally useless for me, I can't do anything with it anymore. I force quit and reopened. Logged out, logged back in. Tried a different page. I uninstalled it, reinstalled it. Network connected and able to access fiber internet. Using Pixel 3 Android 10",0.083
"Still getting used to it... kind of liked the original ""pages"" app which ill probably get a lot of haters hating for saying that but in the type of dude that if it ain't broke, don't fix it. Again, I'll probably have a few ppl point out all the ways the old app was ""broke"". Oh well it is what it is I'll get used 2 the new app",0.083
"Consolidation of FB & Instagram is nice, but refresh time is super slow. Data from pages is not real time, often lagging by hours, particularly notifications.",0.083
well since I have audio issues with Fake Book ever since I bought THere 99 cent video app. many years ago.I have just combined my Instagram and FakeBook account threw this app and hopefully will fix my video and picture format's. So I will update this review when I know more. because I known when I post something I know when I share something and I know when I'm live or I'm on the internet. I don't know why they make it so hard and how they spam you through the messenger app,0.082
Lot of bugs and sometimes delay in messages showing up but you get the notification you just can't see the message in app. Also you cannot reply via notification bar. It says sent but never sends . So you got mad customers that you replied to but never received it until you figure out you can quickly reply via notification bar or have to wait to see message because the app won't display it.,0.082
"This is a good app with great feature to make work easy. However, the app is not working very well. I dealt with lost of work progress. My engagement of Like, Love, and Comment will just disappear. I will have to refresh over and over again, then Redo. Please help us fix this issue. Thanks 🙏",0.082
"It's okay. I like all the business tools being in 1 location to declutter the regular app. However, the app is just as bad as the website version as it still hides functions like nesting dolls. Some days it feels like a manual, that I'll never read until I need it, should be released with these changes and ""improvements.""",0.082
I can't really tell what has actually posted recently and not posted it seems to be disconnected not sure why going to Facebook directly and searching under my business name and posting there seems to be better. They need to improve business Version and the icon is also very boring,0.082
"Not a bad app but I constantly have a notification for an unread message but when I click on it, it's not there! I filter to unread messages and there are none, but then when I go back to the main page, the alert is there again. Its driving me CRAZY!!!",0.081
I read up on FB page manager tutorials but that dosen't warrant the fact that after I read my notifications and select remove this from menu..they go away instantly but reappear when I check later in my day. U get excited thinking soneone replied to an ad or a post you made only to find out nope its a notification that u already deleted. typing every word out in this review is horrible too. Why am I not getting a word hint like nornally do when typing? This sucks! Hoping the new update works,0.081
"Very disappointed in newest update. Can't even find a way to get to my photo albums to view or add to them. My messages from customers only partially load. It takes hours to see their whole message. This is my main way of communicating with my customers and it is bad for business when I can't see their messages. When I reply to someone's comments, my reply gets posted 2-3 times. Please fix these issues or go back to what originally worked.",0.081
This app used to be pretty good until the last 2 update. Now I can't see videos play out that I post at all. Also cannot invite people to our page it just freezes up when I try. Please fix we use this for business as I'm sure everyone else does also!!!!,0.08
glitchy as you do anything main page stutters too much either due to too much information displayed or not reading the publish work properly,0.08
My only issue so far is I still cannot tag people I know on Facebook when in my business account. This is a problem as a photographer because I cannot tag my clients in images of themselves.,0.08
"I guess I don't mind the app (I liked Pages better) but ever since the recent update a few days ago (for Android), now my notifications won't load at all and when I click to try and see who has liked a post to invite them to my page, literally nothing appears and nothing loads. Ugh so frustrating!!",0.08
"does alright, seems to take more steps to publish and pushes advertising at cost too hard.",0.08
"EDIT Update: Thank you for fixing the issue in my took some time but we're worth the wait Works awesome now. 💋 I'm so disappointed I was so excited to start a new page in options are gone for no apparent reason I can't use the comment ""pin to the top"" , its not there. i used it years ago on my last page and i loved it. please bring it back. i know im not the only one who feels like this. thanks.",0.079
"Not as good as Pages Manager, does not load all of the time, slower to update, harder to retrieve messages and share. Some links load incorrectly on this.",0.079
"Always messing up. Says I have messages and I do not, will not let me clear the icon. Also sends saved messages when I did not ask to.",0.078
Earlier issue with login seems to have been resolved. App is functional again. 3 stars because app is essentially required if you wish to upload images or videos to a page. Facebook's mobile site is hilariously broken.,0.078
Frustrating that not all my information is loading. Not showing who has done the reactions on posts or comments under the post fully. Messages not showing up when clicking into the message section of the app.,0.077
"These past few updates have made it difficult to manage my business page. I can't see all of my albums, update my albums, see my posts, manage messages, and on and on..",0.077
So far this app has done wonders for me. Now I'm able to get more done without having to worry about missed messages from potential customers.,0.077
For my Chrome book it's very laggy. It works rightnow so that 's all that matters to me. As far as my phone it works really well and I could not be any happier,0.077
"glitchy and clunky. the UI is not as simple as they'd expect you to believe. You can see more on the Facebook app. Update: UI is less clunky, but much harder to navigate and is somehow less user friendly. Additionally it doesn't show you nearly the same amount of statistics as it used to. As a data analyst I find this disappointing.",0.076
"Completely busted. Most things don't load when using the app, so most everything you click just takes you to a blank page. I get a notification, I click on it, it won't load anything, but now I'll probably forget about whatever it was and miss it since I've already ""seen"" it. This app feels 10% finished to me.",0.076
I've been using this app for a long time now. Very easy to navigate. No confusion between posting from the business account versus personal account. I almost exclusively use this on my phone instead of the computer because it's so easy and I'm on the go! Definitely recommend it!,0.076
My company is still in the start up phase and to be cut off from this resource while I had active ads is a pretty embarrassing first impression. Definitely not putting facebook at the top of my ad campaigns ever. Screen just bounced back to the top when I attempt to scroll. I can't do anything.,0.075
"6/13/20- Have fixed, but still glitches. 5/22/20 Right now not working. My pages are blank. Can't post, upload, or C anything. This app now more of a headache then any other app. FB needs to do better about this app. 5/30/20 & STILL THIS APP IS NOT FIXED! MY SMALL BIZ DEPENDS ON THIS FORM OF COMMUNICATION WITH CUSTOMERS. I HAVE UNINSTALLED & REINSTALLED SO MANY TIMES THAT I THINK MY PHONE NOW DOES IT ON IT'S OWN. THIS IS PATHETIC MARK & CREW WHO RUN FB! I HAVE SENT SCREEN SHOTS, NOTHING!",0.075
Not extremely intuitive like working on the computer. Needs a little work to more mobile friendly. But it does the job!,0.075
I like the old one better because it was more user-friendly IMO but still can get things done for the most part. I unfortunately haven't been able to share pictures from my gallery right to the business suite like I used to.,0.074
This version is good but we just noticed a problem. When we want to post on our pages and tap the post button it goes to our gallery as though we are trying to post a picture please fix it. Thanks,0.074
kinda hard to navigate at times but over all very helpful,0.074
"I get a lot of errors when trying to respond to Instagram messages. I feel like this is unreliable but I really need something where I can manage all my accounts in one place. what bugs me the most about Instagram/Facebook is they have it set up so you can only have one business linked to a personal account, and I have to choose one Instagram account. It's extremely frustrating! just tweak things a little bit for those of us who have multiple side hustles please.",0.074
"Very big problem, please focus!It is an app for managing business! But can not add photos from folders in here! If i click photos, it opens whole Gallery of thousands photos! But i kept individual photos of my products in individual folders! Another point, story section is full of bugs! Doesnt open stories, it keeps loading! No higlight optipn in my page! While i am adding stories, customers responses, when i go to check the story it expires! A hilight section must needed! 😓",0.072
There is a significant delay between messages incoming and me actually receiving them. The app will show me half the message then maybe even hours later the full message is shown.,0.072
"95% of the time, this app won't let me post post a photo to our business page. When it DOES, it's only 1 photo at a time... And I have to go back and edit the post to add a caption. SUPER INCONVENIENT.",0.072
There is a significant delay between messages incoming and me actually receiving them. The app will show me half the message then maybe even hours later the full message is shown.,0.072
Are you guys having a problem with your app? I've restarted my phone several times and it's consistently frozen. I've been closing it and opening it for several hours to get it to work and it's just frozen. Won't do anything!,0.071
Just Updated and Facebook business suites is have lots of issues. Hopefully you are working on it. Anything we can do on this end? 🍂 We can't see the names of individuals who have liked our post. 🍂 We can't invite them to like our page therefore. 🍂 Our People Reached numbers have plummeted which is very odd. Something is not correct because it will say 0 people reached when others have already liked it. 🍂 Struggling to upload post. Had to go to our private Facebook page to upload.,0.071
"Slow to update posts. Like days before they show up. I had the old version on my phone until today, and this version on my tablet. Never a problem with the old version, always behind with the new. And the tablet and phone are always together for business reasons. I was forced to update and now it keeps freezing up!!",0.07
"Slow to update posts. Like days before they show up. I had the old version on my phone until today, and this version on my tablet. Never a problem with the old version, always behind with the new. And the tablet and phone are always together for business reasons. I was forced to update and now it keeps freezing up!!",0.07
"I really love using this app very much! I have many pages on FB and it has become not only extremely helpful to have and to use but,fun as well! P.S. There have been some times that I wanted to post a cover photo and it usually allows for me to do this however there have been times that it refuses to allow this to happen..that's frustrating. I will come back later and it is working. Is this a glitch of this particular app maybe? I also have a hard time posting my photos in my albums.",0.069
"My biggest complaint is that Pages Manager doesn't make it easy to upload a new cover photo from my camera gallery anymore. Aside from posting text, posting pics is the most imp reason to even use pages manager! It used to be so simple, but an upgrade at some point changed that and now I can only choose from a few pics in slide show. Weird. Haven't been able to troubleshoot that; suggestions welcome.",0.069
The app is pretty simple to use and makes it fool proof booking for you and your clients. Only thing I wish I could add is prepay features for clients. Calendar sync is a little glitchy with google calendar too,0.068
"Ever since migrating to this, we have had problems. The UI isn't intuitive, it's challenging to get to our page posts when people comment, often not loading. Today another admin could not get her post to also go to instagram, so i hopped on and published it to both. For her it now shows as published, but is not on either platform, for me, it shows as saved in drafts but when I go to edit the post is now blank and the video gone. Ridiculously buggy.",0.068
several of my pictures with text will not post lately. aggravating after you type out text to describe everything and it feels to post and you lose it all. been using Facebook instead of Business Suite for that.,0.067
it's pretty easy as far as you don't have to have multiple screens open to get one thing done but it was frustrating for a noobie like me because not all the needed accounts were under the same name and you have to go round and round to get it all configured.,0.066
"Its impossible to comment as my page on other pages, on both this app, and the website... So many utterly ridculious issues like this... this is one of the most basic features that doesn't work anymore because Facebook is bloated and mostly broken",0.066
Everything about the app is great except after a while the notifications stop popping up for some reason. Unfortunately that makes up the premise of the app. I have notifications on but haven't got any in about 2 months now. I still use that because it consolidates things but that's it.,0.066
"Update: Facebook actually listened. +1 Star. Now there is just one big thing I have an issue with. Comments. When I go to read comments, it never shows any on the app. I have to comment myself in order to get the option to see all comments. This is very frustrating because I run a business page and I need to be able to see and respond to comments of potential clients or they will think I am ignoring them! Please fix this or make it an option to always see all comments somewhere in settings.",0.065
Too many limitations when using this. 99% of the time I have to get on my laptop to so tasks for my business page because the app either doesn't have the option or it makes it way more difficult than it should be.,0.064
The home page keeps reloading every 2 seconds making it impossible to do anything on the app. Since it's connected to fb I just go there to make my changes. Don't recommend at all.,0.064
Too many limitations when using this. 99% of the time I have to get on my laptop to so tasks for my business page because the app either doesn't have the option or it makes it way more difficult than it should be.,0.064
"New layout is awful, half the features dont work on mobile. Just like the desktop changes, I click more unnecessary buttons to get to where I need to go. Now they're changing your Ads Manager on top of it so we dont even bother running the ads anymore with our business. Everytime we ran an ad to get their ""claimed credit"" we never got it. Just no longer user friendly in all aspects",0.064
"Completely unresponsive, you move a conversation to done and it just stays in your main until one day it just disappears and you dont recieve a message notification sometimes until half an hour after the customer sent it.",0.064
"The app is going honestly garbage. I run a fan page for a non-profit, and this app only allowed me to access messages to the fan page easier. It made everything else impossible to do or so infuriatingly difficult.",0.063
"Whenever I try to change/edit part of something, such as the page description or services that I offer, it gets all weird...so as I'm trying to insert, delete or change anything, the words/letters start disappearing and it messes everything up! So, I have to back out of what I was trying to edit and just leave it as it was, just so it doesn't show up on my page as a drunken jumbled mess to my clients! What the heck?!? Please FIX this!",0.063
Getting worse. I've used this app for years and the changes over the last year are a pain. Not only does it freeze for almost an entire day after doing one thing..... I mean respond to message freeze. Make a post.... freeze. I cant tag anyone without it showing me a list of people from the entire fb. I have to go to my personal page find the post in the feed and tag...ya know if the client is a friend on my personal page. it doesnt show my post to my followers like it used to. They want $$$,0.063
"This is a no completed app....it could be good because the idea of what is trying to bring together, but it is so far for get the full job done, and I have used on the phone and on the computer, and Is not giving me full images always, so I find lot of holes....a picture that dont open when you click, a mesage that you are notified that is there but you do t see it till you go to the real app of facebook or instagram...lot of notifications that you click and take you to an empty page....not yet",0.063
"Works half the time, there is a delay between Android and iPhone with messages. If my employee answers a message I don't see their response. When messaging on IG with Android it does not auto capitalize after periods.",0.063
"This is a great app for facebook pages, the only issue I've been having with it is it only let's me like comments not choose a different reaction. Which is kind of annoying. Other than that it does pretty well",0.062
It's useful and gets the job done but I do have a problem with trying to share a link sometimes I have to click on share a total of three times in order for the pages manager app to pop up. Maybe this latest update which I downloaded tonight will take care of that.,0.061
"I love the ease of scheduling, however it has some bugs. 7 out of 10 times, it lowers the quality of my pictures and videos. Sometimes, it phantom posts my posts too early, and it freaks me out until I realize that it isn't actually posted. Business Suite also isn't linked up fully with Instagram, so I don't get feedback on my Reels when I look at my post's performance. You also can't post a reel from the app, which I don't like.",0.061
"Was pretty great..and then I read about the updates and was like ""sweet, it's going to make things even easier for me""...and then the app was all like ""screw you guys, I'm never loading again, I'm just going to say there's no internet connection, even when there is, just so you have to use your laptop instead of your phone. Hope you like the inconvenience @$$h0|=!!!!"" And that's how the last few days have been going for me. Thanks for listening, plz resolve though! 🙏",0.06
needs more options for auto features. Commons posts and such are quite tricky to edit. so little bit more improvement on the text editing would be nice.,0.06
"So glitchy the last couple weeks. Upload notification wouldn't go away, but doesn't notify me that I do receive notifications. Get random you can not post (wasnt even in the app) now getting a notification saying app error close now/wait/report every 5-10 minutes. Been using for at least a year and it has never been this buggy. New update or something?",0.059
"App was running Ok. Then my page got disabled for some reason. It does not tell why or how to fix it. Support page is pointless, theres no contact to reach up to.",0.059
Love this app. I can manage the page for our veterinary hospital and it does not interfere with my personal account. I can schedule posts for future dates rather than stress about posting the day off. super easy to use.,0.059
makes things easy but lately the scheduling has been messed up. it doesn't schedule in 30 minutes increments and it goes hope by your to get to the hour trying to schedule. other than that good for free booking post app,0.058
